GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
KalahGame,com.aks.game.kalah.rules,GameEndRule,13,107,3,13,4,21,4,7,1,2
KalahGame,com.aks.game.kalah.rules,MoveRule,11,53,3,5,4,14,4,3,1,2
KalahGame,com.aks.game.kalah.rules,SetCurrentPlayerRule,15,15,2,2,4,4,3,2,1,2
KalahGame,com.aks.game.kalah.rules,ValidMoveRule,10,42,4,6,3,8,5,3,1,2
KalahGame,com.aks.game.kalah.rules,DetermineWinnerRule,12,62,3,5,4,11,3,4,1,2
KalahGame,com.aks.game.kalah.rules,StonesCaptureRule,10,73,5,5,3,13,6,3,1,3
KalahGame,com.aks.game.kalah.rules,KalahGameRuleChain,44,3,0,0,13,1,1,1,1,1
KalahGame,com.aks.game,KalahApplication,5,36,0,0,2,6,1,3,1,3
KalahGame,com.aks.game.kalah,KalahGameBoard,24,98,0,12,4,22,3,13,3,7
KalahGame,com.aks.game.kalah,Player,43,17,4,0,13,6,9,2,7,2
KalahGame,com.aks.game.kalah,GameState,5,43,0,0,0,2,1,3,1,3
KalahGame,com.aks.game.kalah,Pit,13,35,0,2,3,12,2,7,2,6
KalahGame,com.aks.game.kalah,KalahGame,0,61,0,2,0,25,0,17,0,16
KalahGame,com.aks.game.kalah,InvalidMoveException,14,9,0,0,6,4,4,1,4,1
KalahGame,com.aks.game.kalah.controller,KalahRestController,31,3,0,0,5,1,3,1,3,1
KalahGame,com.aks.game.kalah.service,KalahGameService,80,3,0,0,21,1,3,1,3,1
KalahGame,com.aks.game.request,StartGameRequest,31,0,0,0,13,0,9,0,9,0
